ID,time,evid,ALT.ID,amt,ROUTE,BMD.femoral.neck_dv,BMD.femoral.neck_ERROR,BMD.femoral.neck_N,BMD.total.hip_dv,BMD.total.hip_ERROR,BMD.total.hip_N,BMD.lumbar.spine_dv,BMD.lumbar.spine_N,BMD.lumbar.spine_ERROR,CTX,N.x,ERROR.x,ERRSTAT.x,BASELINE.x,BSAP,N.y,ERROR.y,ERRSTAT.y,BASELINE.y,BMD.femoral.neck_ERRSTAT,BMD.lumbar.spine_ERRSTAT,BMD.total.hip_ERRSTAT,fnBMDlb,fnBMDub,lsBMDlb,lsBMDub,thBMDlb,thBMDub,cmt,FLG
1,16128,0,35,.,1,.,.,.,104.054,0.483,32,107.42,32,0.69,53.4,30,(-73.73; -27.21),.,0.66,60,30,(-65.61; -22.04),(25th percentile; 75th percentile),12.9,SE,SE,SE,.,.,106.06208,108.77792,103.103456,105.004544,0,0
1,16128,1,35,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,30,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,20160,0,35,.,1,.,.,.,.,.,.,.,.,.,51.5,28,NA,.,0.66,65.4,27,NA,NA,12.9,.,.,.,.,.,.,.,.,.,0,0
1,20160,1,35,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,28,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,24192,0,35,.,1,.,.,.,105.01,1.43,31,108.57,31,0.8,49.3,30,(-81.94; 42.09),.,0.66,65.6,29,(-66.11; -12.10),(25th percentile; 75th percentile),12.9,SE,SE,SE,.,.,106.9956,110.1444,102.19576,107.82424,0,0
1,24192,1,35,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,30,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,28224,0,35,.,1,.,.,.,.,.,5,107.21,5,2.13,45.7,27,(-83.99;-38.15),.,0.66,62.3,27,(-65.62; -11.21),(25th percentile; 75th percentile),12.9,.,SE,.,.,.,103.01816,111.40184,.,.,0,0
1,28224,1,35,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,27,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,32256,0,35,.,.,.,.,.,105.473,0.207,24,109.93,24,1.2,66.9,29,(-80.76; 0.11),.,0.66,88.5,29,(-56.34; 3.83),(25th percentile; 75th percentile),12.9,SE,SE,SE,.,.,107.5684,112.2916,105.065624,105.880376,0,0
2,0,0,36,.,1,.,.,.,.,.,.,100,.,.,100,40,.,.,.,.,.,.,.,.,.,SE,.,.,.,.,.,.,.,0,0
2,0,1,36,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,89.376,0,36,.,.,.,.,.,.,.,.,.,.,.,25.5,44,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,672,0,36,.,.,.,.,.,100.768,0.243,.,101.751,43,0.189,13.8,42,NA,NA,0.68,92.6,40,NA,NA,12.9,SE,SE,SE,.,.,101.379048,102.122952,100.289776,101.246224,0,0
2,1344,0,36,.,.,.,.,.,.,.,.,.,.,.,14.4,41,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,2016,0,36,.,1,.,.,.,101.494,0.386,.,102.462,43,0.425,22,39,NA,NA,0.68,47.3,39,NA,NA,12.9,SE,SE,SE,.,.,101.6256,103.2984,100.734352,102.253648,0,0
2,2016,1,36,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,39,.,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,2688,0,36,.,.,.,.,.,.,.,.,.,.,.,13.7,38,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,3360,0,36,.,.,.,.,.,.,.,.,.,.,.,17.9,38,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,4032,0,36,.,1,.,.,.,101.687,0.145,.,103.69,43,0.472,25.8,38,NA,NA,0.68,38.8,37,NA,NA,12.9,SE,SE,SE,.,.,102.761104,104.618896,101.40164,101.97236,0,0
2,4032,1,36,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,38,.,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,4099.2,0,36,.,.,.,.,.,.,.,.,.,.,.,15.8,35,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,4704,0,36,.,.,.,.,.,.,.,.,.,.,.,19.2,39,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,5376,0,36,.,.,.,.,.,.,.,.,.,.,.,19.6,37,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,6048,0,36,.,1,.,.,.,.,.,.,.,.,.,24.5,38,NA,NA,0.68,36.5,37,NA,NA,12.9,.,.,.,.,.,.,.,.,.,0,0
2,6048,1,36,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,38,.,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,6720,0,36,.,.,.,.,.,.,.,.,.,.,.,18.4,36,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,7392,0,36,.,.,.,.,.,.,.,.,.,.,.,17.5,36,NA,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
2,8064,0,36,.,1,.,.,.,102.457,0.094,.,104.71,36,0.375,38.1,36,(-87.02; -55.37),(25th percentile; 75th percentile),0.68,43.9,36,(-76.61; -41.34),(25th percentile; 75th percentile),12.9,SE,SE,SE,.,.,103.972,105.448,102.272008,102.641992,0,0
2,8064,1,36,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,36,.,(25th percentile; 75th percentile),0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,10080,0,36,.,1,.,.,.,.,.,.,.,.,.,32,35,NA,NA,0.68,49.6,35,NA,NA,12.9,.,.,.,.,.,.,.,.,.,0,0
2,10080,1,36,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,35,.,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,12096,0,36,.,1,.,.,.,103.37,0.241,.,106.239,35,1.087,29.5,33,NA,NA,0.68,55.3,32,NA,NA,12.9,SE,SE,SE,.,.,104.099784,108.378216,102.895712,103.844288,0,0
2,12096,1,36,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,33,.,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,14112,0,36,.,1,.,.,.,.,.,.,.,.,.,33.5,35,NA,NA,0.68,56.2,35,NA,NA,12.9,.,.,.,.,.,.,.,.,.,0,0
2,14112,1,36,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,35,.,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,16128,0,36,.,1,.,.,.,103.563,0.386,.,107.21,33,0.708,47.2,32,(-84.96; -52.32),(25th percentile; 75th percentile),0.68,65.7,32,(-69.11; -16.28),(25th percentile; 75th percentile),12.9,SE,SE,SE,.,.,105.816656,108.603344,102.803352,104.322648,0,0
2,16128,1,36,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,32,.,(25th percentile; 75th percentile),0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,20160,0,36,.,1,.,.,.,.,.,.,.,.,.,44.7,24,NA,NA,0.68,60.4,23,NA,NA,12.9,.,.,.,.,.,.,.,.,.,0,0
2,20160,1,36,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,24,.,NA,0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,24192,0,36,.,1,.,.,.,103.98,1.28,.,109.17,25,0.89,48.5,24,(-82.23;-34.04),(25th percentile; 75th percentile),0.68,60,24,(-69.45; -21.31),(25th percentile; 75th percentile),12.9,SE,SE,SE,.,.,107.41848,110.92152,101.46096,106.49904,0,0
2,24192,1,36,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,24,.,(25th percentile; 75th percentile),0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,28224,0,36,.,1,.,.,.,.,.,7,110.04,7,1.86,64.8,21,(-85.17;-13.72),(25th percentile; 75th percentile),0.68,67.7,21,(-64.78; -6.13),(25th percentile; 75th percentile),12.9,.,SE,.,.,.,106.37952,113.70048,.,.,0,0
2,28224,1,36,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,21,.,(25th percentile; 75th percentile),0.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
2,32256,0,36,.,.,.,.,.,104.8,0.573,.,109.03,20,1.33,74.5,24,(-78.25; -7.84),(25th percentile; 75th percentile),0.68,80.6,24,(-60.49; 9.42),(25th percentile; 75th percentile),12.9,SE,SE,SE,.,.,106.41256,111.64744,103.672336,105.927664,0,0
3,0,0,37,.,1,.,.,.,100,.,40,100,.,.,100,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,0,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,89.376,0,37,.,.,.,.,.,.,.,.,.,.,.,19.37,40,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,672,0,37,.,.,.,.,.,100.967,0.286,40,102.306,40,0.47,11.26,39,.,.,0.7,85.71,39,NA,NA,13.9,SE,SE,SE,.,.,101.38104,103.23096,100.404152,101.529848,0,0
3,1344,0,37,.,.,.,.,.,.,.,.,.,.,.,11.94,35,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,2016,0,37,.,1,.,.,.,101.782,0.338,40,103.2,40,0.425,13.51,37,.,.,0.7,36.51,36,NA,NA,13.9,SE,SE,SE,.,.,102.3636,104.0364,101.116816,102.447184,0,0
3,2016,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,37,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,2688,0,37,.,.,.,.,.,.,.,.,.,.,.,12.5,35,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,3360,0,37,.,.,.,.,.,.,.,.,.,.,.,14.19,33,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,4032,0,37,.,1,.,.,.,102.168,0.193,40,104.474,40,0.472,17,33,.,.,0.7,27.47,32,NA,NA,13.9,SE,SE,SE,.,.,103.545104,105.402896,101.788176,102.547824,0,0
3,4032,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,33,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,4099.2,0,37,.,.,.,.,.,.,.,.,.,.,.,12.95,32,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,4704,0,37,.,.,.,.,.,.,.,.,.,.,.,12.5,34,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,5376,0,37,.,.,.,.,.,.,.,.,.,.,.,12.5,30,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,6048,0,37,.,1,.,.,.,.,.,.,.,.,.,15.09,32,.,.,0.7,25.27,32,NA,NA,13.9,.,.,.,.,.,.,.,.,.,0,0
3,6048,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,32,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,6720,0,37,.,.,.,.,.,.,.,.,.,.,.,11.82,31,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,7392,0,37,.,.,.,.,.,.,.,.,.,.,.,11.49,31,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
3,8064,0,37,.,1,.,.,.,103.374,0.383,32,106.69,32,0.566,13.4,31,.,.,0.7,29.67,31,NA,NA,13.9,SE,SE,SE,.,.,105.576112,107.803888,102.620256,104.127744,0,0
3,8064,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,31,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,10080,0,37,.,1,.,.,.,.,.,.,.,.,.,12.798,28,.,.,0.7,37.958,27,NA,NA,13.9,.,.,.,.,.,.,.,.,.,0,0
3,10080,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,28,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,12096,0,37,.,1,.,.,.,104.189,0.434,30,107.971,30,0.613,12.5,27,.,.,0.7,46.063,25,NA,NA,13.9,SE,SE,SE,.,.,106.764616,109.177384,103.334888,105.043112,0,0
3,12096,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,27,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,14112,0,37,.,1,.,.,.,.,.,.,.,.,.,18.438,28,.,.,0.7,44.765,26,NA,NA,13.9,.,.,.,.,.,.,.,.,.,0,0
3,14112,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,28,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,16128,0,37,.,1,.,.,.,105.056,0.483,27,108.83,27,0.76,15.987,25,.,.,0.7,43.957,25,NA,NA,13.9,SE,SE,SE,.,.,107.33432,110.32568,104.105456,106.006544,0,0
3,16128,1,37,3.00E+07,1,.,.,.,.,.,.,.,.,.,.,25,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,20160,1,37,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
3,24192,1,37,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,SE,.,SE,.,.,.,.,.,.,DENSC,0
3,28224,1,37,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,0,0,38,.,1,.,.,.,.,.,.,.,.,.,100,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,0,1,38,1.40E+07,1,.,.,.,100,.,.,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,89.376,0,38,.,.,.,.,.,.,.,.,.,.,.,24.1,52,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,672,0,38,.,.,.,.,.,101.1596,0.242,.,101.222,NA,0.634,13.7,51,NA,NA,0.63,98.4,51,NA,NA,11.1,SE,SE,SE,.,.,99.974288,102.469712,100.683344,101.635856,0,0
4,1344,0,38,.,.,.,.,.,.,.,.,.,.,.,17.2,53,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,2016,0,38,.,.,.,.,.,102.1761,0.3388,.,102.002,NA,0.734,24.1,52,NA,NA,0.63,52,50,NA,NA,11.1,SE,SE,SE,.,.,100.557488,103.446512,101.5093416,102.8428584,0,0
4,2688,0,38,.,.,.,.,.,.,.,.,.,.,.,38.2,51,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,3360,0,38,.,.,.,.,.,.,.,.,.,.,.,54.1,51,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,4032,0,38,.,1,.,.,.,102.6601,0.3388,53,103.079,53,0.533,65.2,50,NA,NA,0.63,59.9,49,NA,NA,11.1,SE,SE,SE,.,.,102.030056,104.127944,101.9933416,103.3268584,0,0
4,4032,1,38,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,50,.,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,4099.2,0,38,.,.,.,.,.,.,.,.,.,.,.,23.1,46,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,4704,0,38,.,.,.,.,.,.,.,.,.,.,.,15.9,50,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,5376,0,38,.,.,.,.,.,.,.,.,.,.,.,18,50,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,6048,0,38,.,.,.,.,.,.,.,.,.,.,.,25.2,49,NA,NA,0.63,39.6,47,NA,NA,11.1,.,.,.,.,.,.,.,.,.,0,0
4,6720,0,38,.,.,.,.,.,.,.,.,.,.,.,40.5,49,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,7392,0,38,.,.,.,.,.,.,.,.,.,.,.,60.9,47,NA,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
4,8064,0,38,.,1,.,.,.,102.9022,0.3908,48,104.441,48,0.289,86.4,47,(-38.48; 10.69),(25th percentile; 75th percentile),0.63,64.8,47,(-64.97;-13.73),(25th percentile; 75th percentile),11.1,SE,SE,SE,.,.,103.872248,105.009752,102.1331056,103.6712944,0,0
4,8064,1,38,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,47,.,(25th percentile; 75th percentile),0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,10080,0,38,.,.,.,.,.,.,.,.,.,.,.,25.6,45,NA,NA,0.63,56.3,44,NA,NA,11.1,.,.,.,.,.,.,.,.,.,0,0
4,12096,0,38,.,1,.,.,.,103.974,0.343,43,106.73,43,0.585,104,43,NA,NA,0.63,81.1,43,NA,NA,11.1,SE,SE,SE,.,.,105.57872,107.88128,103.298976,104.649024,0,0
4,12096,1,38,1.40E+07,1,.,.,.,.,.,.,.,.,.,.,43,.,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,14112,0,38,.,.,.,.,.,.,.,.,.,.,.,25.7,41,NA,NA,0.63,57.8,40,NA,NA,11.1,.,.,.,.,.,.,.,.,.,0,0
4,16128,0,38,.,1,.,.,.,104.0302,0.4356,41,107.413,41,0.732,103.6,38,(-24.02; 25.84),(25th percentile; 75th percentile),0.63,85.9,38,(-44.05; 0.5),(25th percentile; 75th percentile),11.1,SE,SE,SE,.,.,105.972424,108.853576,103.1729392,104.8874608,0,0
4,16128,1,38,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,38,.,(25th percentile; 75th percentile),0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,20160,0,38,.,1,.,.,.,.,.,.,.,.,.,39.2,35,NA,NA,0.63,53,34,NA,NA,11.1,.,.,.,.,.,.,.,.,.,0,0
4,20160,1,38,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,35,.,NA,0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,24192,0,38,.,1,.,.,.,104.54,0.85,15,107.99,38,0.72,50.2,31,(-75.77;-23.56),(25th percentile; 75th percentile),0.63,56.1,31,(-63.87; -32.19),(25th percentile; 75th percentile),11.1,SE,SE,SE,.,.,106.57304,109.40696,102.8672,106.2128,0,0
4,24192,1,38,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,31,.,(25th percentile; 75th percentile),0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,28224,0,38,.,1,.,.,.,.,.,.,.,.,.,50.6,30,(-80.65;-32.46),(25th percentile; 75th percentile),0.63,54.5,30,(-62.49; -28.55),(25th percentile; 75th percentile),11.1,.,.,.,.,.,.,.,.,.,0,0
4,28224,1,38,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,30,.,(25th percentile; 75th percentile),0.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
4,32256,0,38,.,.,.,.,.,104.07,0.704,39,110.34,39,0.96,61.1,34,(-73.80; -9.78),(25th percentile; 75th percentile),0.63,57.9,34,(-57.67; -24.26),(25th percentile; 75th percentile),11.1,SE,SE,SE,.,.,108.45072,112.22928,102.684528,105.455472,0,0
5,0,0,39,.,1,.,.,.,100,.,.,100,.,.,100,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
5,0,1,39,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
5,221.76,0,39,.,.,.,.,.,.,.,.,.,.,.,18.5,47,NA,NA,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
5,672,0,39,.,.,.,.,.,100.731,0.1936,46,101.754,46,0.589,12.4,44,NA,NA,0.64,89.6,44,NA,NA,12.8,SE,SE,SE,.,.,100.594848,102.913152,100.3499952,101.1120048,0,0
5,1344,0,39,.,.,.,.,.,.,.,.,.,.,.,13.1,44,NA,NA,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
5,2016,0,39,.,.,.,.,.,101.4536,0.3872,.,102.444,NA,0.435,13.9,45,NA,NA,0.64,43,45,NA,NA,12.8,SE,SE,SE,.,.,101.58792,103.30008,100.6915904,102.2156096,0,0
5,2688,0,39,.,.,.,.,.,.,.,.,.,.,.,15.6,45,NA,NA,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
5,3360,0,39,.,.,.,.,.,.,.,.,.,.,.,21.1,44,NA,NA,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
5,4032,0,39,.,1,.,.,.,101.6491,0.3388,.,103.708,NA,0.39,30.2,43,NA,NA,0.64,42.3,43,NA,NA,12.8,SE,SE,SE,.,.,102.94048,104.47552,100.9823416,102.3158584,0,0
5,4032,1,39,6.00E+07,1,.,.,.,.,.,.,.,.,.,.,43,.,NA,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
5,4099.2,0,39,.,.,.,.,.,.,.,.,.,.,.,16.2,42,NA,NA,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
5,4704,0,39,.,.,.,.,.,.,.,.,.,.,.,14.2,44,NA,NA,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
5,5376,0,39,.,.,.,.,.,.,.,.,.,.,.,15.5,43,NA,NA,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
5,6048,0,39,.,.,.,.,.,.,.,.,.,.,.,14.7,44,NA,NA,0.64,34.4,44,NA,NA,12.8,.,.,.,.,.,.,.,.,.,0,0
